time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443349642	0.0001	0.0001	0	0	0	lidar	0	0	0	0	0	0	0
1477010443349642	0.446964	-0.446826	0	0	0	radar	1.12	0	0	0	0	0	0
1477010444349642	1.52143	-0.125242	0.333767	-4.85723e-17	1.38778e-17	lidar	1.69795	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339
1477010444349642	1.63565	0.0160204	1.40793	-0.00863262	0.00503807	radar	15.4986	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339
1477010445349642	3.85235	-0.126662	1.63289	-0.200891	0.00790357	lidar	2.44719	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323
1477010445349642	3.93483	0.0806279	2.10202	0.211241	0.285764	radar	6.75163	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323
1477010446349642	6.83311	0.417716	2.29379	-0.304786	-0.354587	lidar	2.17404	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847
1477010446349642	6.75165	0.450501	2.39837	-0.00923109	-0.0826937	radar	1.94009	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847
1477010447349642	9.06906	0.589012	2.45825	0.17983	0.0650685	lidar	0.300012	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526
1477010447349642	9.03585	0.655802	2.58234	0.203641	0.0627574	radar	1.50921	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526
1477010448349642	11.5643	1.65995	2.69281	0.541722	0.20552	lidar	0.52173	11.5756	1.6669	11.3468	1.427	2.49328	0.600781
1477010448349642	11.5416	1.61897	2.75655	0.46432	0.126677	radar	0.581018	11.4447	1.42958	11.3468	1.427	2.49328	0.600781
1477010449349642	13.5946	2.31968	2.66167	0.296915	-0.0527528	lidar	0.172446	13.5921	2.31191	13.827	2.07905	2.5429	0.724947
1477010449349642	13.6039	2.2833	2.67593	0.269948	-0.0743844	radar	0.557024	13.6572	1.99915	13.827	2.07905	2.5429	0.724947
1477010450349642	16.6199	2.90003	2.81095	0.0906263	-0.13851	lidar	1.01499	16.6456	2.903	16.3554	2.85243	2.58284	0.844365
1477010450349642	16.5545	2.89035	2.84618	0.099619	-0.125629	radar	1.08366	16.282	2.84648	16.3554	2.85243	2.58284	0.844365
1477010451349642	19.0061	3.69579	2.83952	0.469643	0.180688	lidar	0.347921	19.0106	3.70555	18.923	3.74161	2.61382	0.95648
