-0.0541	3.7181	0	0	-0.0541	3.7181	0.0813	3.5437	0.2182	0.9759
0.453282	4.32098	0.63415	0.753507	0.4533	4.321	0.3575	4.2923	0.454	0.891
0.737511	4.77087	0.271946	0.505244	0.7358	4.7697	0.8112	4.9487	0.6613	0.7501
1.60353	5.62749	1.49223	1.35662	1.612	5.6334	1.4138	5.4717	0.8271	0.5621
2.08553	5.81136	0.110219	-0.393615	2.0753	5.7984	2.1276	5.8283	0.9409	0.3387
2.91845	5.76338	1.56714	0.128531	2.9294	5.7673	2.9076	5.9962	0.9956	0.0941
3.49924	5.67966	0.248262	-0.237085	3.4893	5.6769	3.7049	5.9649	0.9877	-0.1565
4.48052	5.55957	1.78295	-0.100646	4.4921	5.5606	4.4693	5.7363	0.9177	-0.3972
5.20223	5.06197	0.40108	-0.918573	5.1918	5.0558	5.1529	5.3248	0.7901	-0.6129
6.02004	4.65258	1.37567	-0.280288	6.0274	4.6574	5.7127	4.7561	0.6129	-0.7902
6.08608	4.01879	0.58486	-1.32936	5.61883	3.69736	5.9347	4.4238	0.509	-0.8608
6.39852	3.96358	0.930684	-0.175955	6.4371	4.0171	6.1134	4.0662	0.3971	-0.9178
6.55917	3.79499	0.236045	-0.511781	6.54552	3.79042	6.2459	3.689	0.279	-0.9603
6.34938	3.4312	-0.628777	-0.961457	6.292	3.4002	6.33	3.2982	0.1564	-0.9877
6.32381	3.18476	-0.225723	-0.69185	6.51673	3.28572	6.3645	2.9	0.0314	-0.9995
6.28801	2.5886	-0.13467	-1.46191	6.2834	2.5594	6.3488	2.5005	-0.0941	-0.9956
6.05484	2.09382	-0.651746	-1.23138	6.01314	2.10004	6.2832	2.1062	-0.2182	-0.9759
6.20557	1.58566	0.509655	-1.24232	6.2803	1.5955	6.1686	1.7232	-0.3388	-0.9409
6.27251	1.46454	0.310792	-0.205184	6.13379	1.49649	6.007	1.3576	-0.454	-0.891
6.00582	1.09365	-0.812544	-0.902102	5.9284	1.0645	5.8008	1.0152	-0.5621	-0.8271
5.66132	0.746477	-0.430875	-0.809537	5.43116	0.721659	5.5533	0.7013	-0.6613	-0.7501
5.26286	0.505999	-1.07152	-0.597934	5.2209	0.5115	5.2685	0.4208	-0.7501	-0.6613
4.64163	0.158438	-0.89578	-0.851128	4.20869	0.142308	4.9507	0.1783	-0.8271	-0.5621
4.69013	-0.182253	0.259799	-0.860277	4.7674	-0.1812	4.605	-0.0225	-0.891	-0.454
4.35422	-0.175903	-0.849921	0.0676474	4.12413	-0.169184	4.2369	-0.1783	-0.9409	-0.3387
3.96164	-0.368608	-0.991236	-0.526648	3.9545	-0.3912	3.8522	-0.2868	-0.9759	-0.2181
3.65581	-0.369282	-0.89593	0.0582825	3.74834	-0.36322	3.4569	-0.3463	-0.9956	-0.0941
3.04365	-0.651026	-1.61759	-0.847691	3	-0.6862	3.0573	-0.3557	-0.9995	0.0314
2.69223	-0.340287	-0.981071	0.944361	2.69251	-0.295741	2.6596	-0.3149	-0.9877	0.1564
2.12202	-0.278518	-1.5267	-0.079366	2.0965	-0.3228	2.2702	-0.2247	-0.9603	0.279
1.79755	-0.184234	-0.709764	0.241086	1.86402	-0.156759	1.8952	-0.0863	-0.9178	0.3971
1.6013	0.03173	-0.445026	0.657901	1.617	0.0501	1.5404	0.0979	-0.8607	0.509
1.51473	0.372858	-0.309764	0.839657	1.60894	0.401588	1.2116	0.3252	-0.7902	0.6129
1.36686	0.515204	-0.357773	0.178238	1.3608	0.4839	0.9138	0.5919	-0.7071	0.7071
0.706169	1.06288	-0.926022	1.82565	0.321421	0.432428	0.6518	0.8938	-0.6129	0.7902
0.293902	1.4778	-0.974532	0.778148	0.2823	1.4249	0.4297	1.2262	-0.509	0.8607
0.32944	1.86605	0.1717	0.870762	0.360018	1.88625	0.2511	1.5838	-0.3971	0.9178
0.194786	1.90853	-0.516988	0.000506963	0.1646	1.8514	0.1186	1.961	-0.279	0.9603
0.0231098	2.10126	-0.426873	0.968066	0.0262267	1.94312	0.0345	2.3517	-0.1564	0.9877
-0.0267667	2.59856	-0.0218117	1.28016	-0.0085	2.6193	0	2.75	-0.0314	0.9995
